Country,Code,Year,Electricity Generation per Capita (kWh)
Afghanistan,AFG,2022,20.18052
Africa,,2022,617.50714
Albania,ALB,2022,2462.7786
Algeria,DZA,2022,1963.7786
American Samoa,ASM,2022,4063.664
Angola,AGO,2022,475.98984
Antigua and Barbuda,ATG,2022,3839.099
Argentina,ARG,2022,3314.193
Armenia,ARM,2022,3154.141
Aruba,ABW,2022,9205.422
Asia,,2022,3434.7263
Australia,AUS,2022,10449.849
Austria,AUT,2022,7187.109
Azerbaijan,AZE,2022,2793.9548
Bahamas,BHS,2022,4951.3525
Bahrain,BHR,2022,24140.135
Bangladesh,BGD,2022,595.7834
Barbados,BRB,2022,3870.1064
Belarus,BLR,2022,4050.3596
Belgium,BEL,2022,8076.58
Belize,BLZ,2022,764.89386
Benin,BEN,2022,84.62604
Bermuda,BMU,2022,9812.015
Bhutan,BTN,2022,11502.229
Bolivia,BOL,2022,941.5816
Bosnia and Herzegovina,BIH,2022,5118.245
Botswana,BWA,2022,999.886
Brazil,BRA,2022,3145.042
British Virgin Islands,VGB,2022,5425.7627
Brunei,BRN,2022,12806.18
Bulgaria,BGR,2022,7404.9443
Burkina Faso,BFA,2022,33.959953
Burundi,BDI,2022,27.929531
Cambodia,KHM,2022,525.4102
Cameroon,CMR,2022,290.88782
Canada,CAN,2022,17154.117
Cape Verde,CPV,2022,724.9284
Cayman Islands,CYM,2022,10185.967
Central African Republic,CAF,2022,26.885826
Chad,TCD,2022,19.748001
Chile,CHL,2022,4245.1094
China,CHN,2022,6205.771
Colombia,COL,2022,1642.6332
Comoros,COM,2022,167.30742
Congo,COG,2022,669.9685
Cook Islands,COK,2022,2348.5205
Costa Rica,CRI,2022,2406.9475
Cote d'Ivoire,CIV,2022,394.8787
Croatia,HRV,2022,3533.1824
Cuba,CUB,2022,1626.7997
Cyprus,CYP,2022,4202.9834
Czechia,CZE,2022,7979.8057
Democratic Republic of Congo,COD,2022,111.50365
Denmark,DNK,2022,5931.3945
Djibouti,DJI,2022,115.98329
Dominica,DMA,2022,2336.513
Dominican Republic,DOM,2022,1918.2781
East Timor,TLS,2022,380.2287
Ecuador,ECU,2022,1813.7881
Egypt,EGY,2022,1809.6211
El Salvador,SLV,2022,1002.14746
Equatorial Guinea,GNQ,2022,877.65594
Eritrea,ERI,2022,103.147606
Estonia,EST,2022,6711.5913
Eswatini,SWZ,2022,482.65762
Ethiopia,ETH,2022,124.97981
Europe,,2022,6352.6255
European Union (27),,2022,6208.208
Falkland Islands,FLK,2022,5261.7734
Faroe Islands,FRO,2022,7907.073
Fiji,FJI,2022,1118.5574
Finland,FIN,2022,12971.181
France,FRA,2022,7262.487
French Polynesia,PYF,2022,2285.401
Gabon,GAB,2022,996.234
Gambia,GMB,2022,188.47041
Georgia,GEO,2022,3805.6985
Germany,DEU,2022,6806.658
Ghana,GHA,2022,672.1259
Gibraltar,GIB,2022,7650.641
Greece,GRC,2022,4969.681
Greenland,GRL,2022,9912.557
Grenada,GRD,2022,1992.6829
Guam,GUM,2022,10187.271
Guatemala,GTM,2022,737.50635
Guinea,GIN,2022,219.34653
Guinea-Bissau,GNB,2022,37.99428
Guyana,GUY,2022,1409.6228
Haiti,HTI,2022,89.771225
High-income countries,,2022,9471.518
Honduras,HND,2022,1151.1707
Hong Kong,HKG,2022,4799.1265
Hungary,HUN,2022,3587.7302
Iceland,ISL,2022,53284.637
India,IND,2022,1311.0465
Indonesia,IDN,2022,1210.6656
Iran,IRN,2022,3931.426
Iraq,IRQ,2022,2597.7544
Ireland,IRL,2022,6685.1045
Israel,ISR,2022,8398.691
Italy,ITA,2022,4742.0728
Jamaica,JAM,2022,1623.4099
Japan,JPN,2022,8338.329
Jordan,JOR,2022,1937.8206
Kazakhstan,KAZ,2022,5875.8643
Kenya,KEN,2022,228.77245
Kiribati,KIR,2022,228.59407
Kosovo,OWID_KOS,2022,4163.35
Kuwait,KWT,2022,20246.5
Kyrgyzstan,KGZ,2022,2088.794
Laos,LAO,2022,6102.6816
Latvia,LVA,2022,2696.344
Lebanon,LBN,2022,1830.6864
Lesotho,LSO,2022,216.84204
Liberia,LBR,2022,148.98099
Libya,LBY,2022,4444.8726
