Entity,Code,Year,Per capita electricity - kWh
Algeria,DZA,2023,1883.7194
Argentina,ARG,2023,3351.9111
Australia,AUS,2023,10397.096
Austria,AUT,2023,7474.081
Azerbaijan,AZE,2023,2814.1245
Bangladesh,BGD,2023,590.38715
Belarus,BLR,2023,4402.5737
Belgium,BEL,2023,7051.083
Bolivia,BOL,2023,980.7423
Bosnia and Herzegovina,BIH,2023,5263.3955
Brazil,BRA,2023,3295.3142
Bulgaria,BGR,2023,5979.62
Canada,CAN,2023,16371.299
Chile,CHL,2023,4259.386
China,CHN,2023,6635.183
Colombia,COL,2023,1665.3494
Costa Rica,CRI,2023,2300.3818
Croatia,HRV,2023,4223.404
Cyprus,CYP,2023,4277.2886
Czechia,CZE,2023,7258.489
Denmark,DNK,2023,5689.4785
Ecuador,ECU,2023,1844.3701
Egypt,EGY,2023,1783.0558
El Salvador,SLV,2023,1134.3379
Estonia,EST,2023,4898.833
Finland,FIN,2023,14397.32
France,FRA,2023,7939.115
Georgia,GEO,2023,3857.0085
Germany,DEU,2023,6060.295
Greece,GRC,2023,4775.0396
Hong Kong,HKG,2023,5057.2153
Hungary,HUN,2023,3524.926
Iceland,ISL,2023,53929.08
India,IND,2023,1377.4758
Indonesia,IDN,2023,1263.3007
Iran,IRN,2023,4071.0857
Iraq,IRQ,2023,3062.374
Ireland,IRL,2023,6215.2324
Israel,ISR,2023,8412.081
Italy,ITA,2023,4460.2783
Japan,JPN,2023,8220.236
Kazakhstan,KAZ,2023,5808.2363
Kenya,KEN,2023,221.41324
Kosovo,OWID_KOS,2023,3823.0366
Kuwait,KWT,2023,21076.043
Latvia,LVA,2023,3414.9011
Lithuania,LTU,2023,2045.3569
Luxembourg,LUX,2023,1741.0668
Malaysia,MYS,2023,5473.6543
Malta,MLT,2023,4803.0737
Mexico,MEX,2023,2750.679
Moldova,MDA,2023,1714.235
Mongolia,MNG,2023,2349.7625
Montenegro,MNE,2023,6544.44
Morocco,MAR,2023,1119.9773
Myanmar,MMR,2023,332.55157
Netherlands,NLD,2023,6933.134
New Zealand,NZL,2023,8515.5205
Nigeria,NGA,2023,181.63164
North Macedonia,MKD,2023,3265.119
Norway,NOR,2023,28056.23
Oman,OMN,2023,9643.906
Pakistan,PAK,2023,669.6865
Paraguay,PRY,2023,8282.413
Peru,PER,2023,1744.549
Philippines,PHL,2023,1007.86304
Poland,POL,2023,4113.239
Portugal,PRT,2023,4379.5596
Qatar,QAT,2023,20022.83
Romania,ROU,2023,2829.1628
Russia,RUS,2023,8151.7197
Serbia,SRB,2023,5484.6274
Singapore,SGP,2023,9531.607
Slovakia,SVK,2023,5112.8467
Slovenia,SVN,2023,7180.326
South Africa,ZAF,2023,3779.722
South Korea,KOR,2023,11860.6
Spain,ESP,2023,5676.6016
Sri Lanka,LKA,2023,771.87305
Sweden,SWE,2023,15676.465
Switzerland,CHE,2023,8058.73
Taiwan,TWN,2023,11765.531
Thailand,THA,2023,2653.0168
Trinidad and Tobago,TTO,2023,6329.663
Tunisia,TUN,2023,1688.0415
Turkey,TUR,2023,3726.4531
Turkmenistan,TKM,2023,5138.0737
Ukraine,UKR,2023,2813.6763
United Arab Emirates,ARE,2023,17342.172
United Kingdom,GBR,2023,4332.8
United States,USA,2023,12497.331
Uruguay,URY,2023,3856.147
Uzbekistan,UZB,2023,2218.1812
Venezuela,VEN,2023,2973.8862
Vietnam,VNM,2023,2688.3757
World,OWID_WRL,2023,3664.128
